,fraction,e_loss
163,4.46E-05,-5.132700372
164,0.000597586,-5.132907674
165,0,-5.13290817
166,4.20E-05,-5.132966938
167,0.000562585,-5.133161345
168,0,-5.133161841
169,3.95E-05,-5.133217014
170,0.000531816,-5.133399767
171,0,-5.133400139
172,3.72E-05,-5.133452088
173,0.000500739,-5.13362393
174,0,-5.133624302
175,3.52E-05,-5.133673152
176,0.000474021,-5.133835075
177,0,-5.133835447
178,3.32E-05,-5.133881446
179,0.000450339,-5.13403407
180,0,-5.134034442
181,3.14E-05,-5.13407796
182,0.000427388,-5.13422203
183,0,-5.134222402
184,2.98E-05,-5.134263441
185,0.000405209,-5.134399575
186,0,-5.134399947
187,2.82E-05,-5.134438754
188,0.000385208,-5.134567574
189,0,-5.134567946
190,2.67E-05,-5.134604645
191,0.000365113,-5.134726646
192,0,-5.134726894
193,2.54E-05,-5.134761857
194,0.000347698,-5.134877411
195,0,-5.134877659
196,2.41E-05,-5.134910762
197,0.00033114,-5.135020488
198,0,-5.135020736
199,2.30E-05,-5.135052104
200,0.000315454,-5.135156375
201,0,-5.135156499
202,2.18E-05,-5.135186379
203,0.000300167,-5.135285443
204,0,-5.13528569
205,2.08E-05,-5.135314083
206,0.000286707,-5.135408187
207,0,-5.135408435
208,1.98E-05,-5.135435463
209,0.000273191,-5.135525104
210,0,-5.135525352
211,1.90E-05,-5.135551141
212,0.000261525,-5.135636566
213,0,-5.13563669
214,1.80E-05,-5.135661239
215,0.000249348,-5.13574282
216,0,-5.135742944
217,1.72E-05,-5.135766377
218,0.000238561,-5.135844115
219,0,-5.135844239
220,1.65E-05,-5.13586668
221,0.000228208,-5.135940947
222,0,-5.135941071
223,1.58E-05,-5.135962396
224,0.000218788,-5.136033439
225,0,-5.136033563
226,1.51E-05,-5.136054021
227,0.000209823,-5.13612184
228,0,-5.136121964
229,1.45E-05,-5.136141553
230,0.000200833,-5.136206397
231,0,-5.136206521
232,1.39E-05,-5.136225243
233,0.000192302,-5.136287483
234,0,-5.136287607
235,1.33E-05,-5.13630546
236,0.000184713,-5.136365097
237,0,-5.136365221
238,1.28E-05,-5.136382331
239,0.000177589,-5.136439487
240,0,-5.136439611
241,1.22E-05,-5.136456101
242,0.000170448,-5.136510778
243,0,-5.136510902
244,1.18E-05,-5.136526772
245,0.000163773,-5.136579342
246,0,-5.136579466
247,1.13E-05,-5.136594592
248,0.000157569,-5.136645053
249,0,-5.136645177
250,1.09E-05,-5.136659807
251,0.000151839,-5.136708285
252,0,-5.136708409
253,1.05E-05,-5.136722419
254,0.000146099,-5.136769037
255,0,-5.136769161
256,1.01E-05,-5.136782676
257,0.00014035,-5.136827434
258,0,-5.136827558
259,9.69E-06,-5.136840576
260,0.000135559,-5.136883723
261,0,-5.136883847
262,0.001239321,-5.569826225
263,0,-6.175392289
264,0,-6.186309097
